cell_type,disease,distance,ontology,method,scope,n_genes,n_annotated,n_ref_genes,mean,median,std,max,skew,p10,p25,p75,p90,p95,bestmatch_mean,bestmatch_median,bestmatch_max
oligodendrocytes,parkinson,wang,BP,ig_lora,all,30,29,184,0.17873158538775433,0.17085768261303108,0.10462886367365899,0.6950305658818614,0.47671821455292573,0.04727570145283521,0.10806194369750392,0.24203003832879927,0.3162284765805883,0.3619489107504162,0.47517901195647144,0.49765246435718624,0.6950305658818614
oligodendrocytes,parkinson,wang,BP,ig_lora,annotated,29,29,184,0.18489474350457347,0.1746215401401201,0.10092151999976037,0.6950305658818614,0.5576295440203597,0.06303605613866431,0.11526875042667936,0.24532014673350286,0.3189953904892677,0.36328737471747574,0.49156449512738426,0.4976679234820498,0.6950305658818614
oligodendrocytes,parkinson,wang,BP,all_methods,all,60,55,184,0.16293995710997644,0.15719312208747602,0.11040834195383918,1.0,0.6621752283444378,0.0,0.0862446591987805,0.22851353297373106,0.30590467351217554,0.35611320979291006,0.4771638001642286,0.49945926973252186,1.0
oligodendrocytes,parkinson,wang,BP,all_methods,annotated,55,55,184,0.17775268048361068,0.16693842958676153,0.10327237135659881,1.0,0.806508748783411,0.05475687456524508,0.1067139664447573,0.23630160107195539,0.3124476648177049,0.36278818956241654,0.5205423274518859,0.5084758078937004,1.0
astrocytes,parkinson,lin,CC,attention_zero_shot,all,30,28,184,0.3282277348807779,0.25897924648868453,0.24341625113372564,1.0,0.5540257608204806,0.07746419208759121,0.12018261417639538,0.5294257573008097,0.6880582041507343,0.765126448569015,0.8425220611402008,0.8982290443167579,1.0
astrocytes,parkinson,lin,CC,attention_zero_shot,annotated,28,28,184,0.3516725730865478,0.29186016712830076,0.23502938686410843,1.0,0.5537391908674711,0.0965411972396666,0.13977587089672666,0.5452432393034503,0.697855898659199,0.7712000829080987,0.9027022083645007,0.9094453739561495,1.0
astrocytes,parkinson,lin,CC,ig_lora,all,30,30,184,0.3291619626368197,0.2624193773103959,0.2232179606950504,1.0,0.6646201990037743,0.09387603156622058,0.1288004380202581,0.5046381702645935,0.6616968350505551,0.7435676665261257,0.9028457030976341,0.9145742596967323,1.0
astrocytes,parkinson,lin,CC,ig_lora,annotated,30,30,184,0.3291619626368197,0.2624193773103959,0.2232179606950504,1.0,0.6646201990037743,0.09387603156622058,0.1288004380202581,0.5046381702645935,0.6616968350505551,0.7435676665261257,0.9028457030976341,0.9145742596967323,1.0
astrocytes,parkinson,lin,CC,all_methods,all,60,58,184,0.3286948487587988,0.26144694446131167,0.23353604184751028,1.0,0.603342730273853,0.08826906289173128,0.12427710375299976,0.5165811982087425,0.6736625567450059,0.754837832289072,0.8726838821189175,0.9083836560478205,1.0
astrocytes,parkinson,lin,CC,all_methods,annotated,58,58,184,0.34002915388841254,0.27427147876399777,0.2292722108928469,1.0,0.6128003270179622,0.09499824177698378,0.13385606000692107,0.5238873852494901,0.6785951141884129,0.7577978787573763,0.9027764297781905,0.9107608723947351,1.0
