cell_type,method,gene,ontology,annotated
oligodendrocytes,attention_zero_shot,F5,CC,True
oligodendrocytes,attention_zero_shot,HES1,CC,True
oligodendrocytes,attention_zero_shot,SLC16A10,CC,True
oligodendrocytes,attention_zero_shot,RBMS3,CC,True
oligodendrocytes,attention_zero_shot,BICC1,CC,True
oligodendrocytes,attention_zero_shot,NRP1,CC,True
oligodendrocytes,attention_zero_shot,ACSBG1,CC,True
oligodendrocytes,attention_zero_shot,SYT1,CC,True
oligodendrocytes,attention_zero_shot,CENPF,CC,True
oligodendrocytes,attention_zero_shot,CD69,CC,True
oligodendrocytes,attention_zero_shot,KCNJ3,CC,True
oligodendrocytes,attention_zero_shot,CALY,CC,True
oligodendrocytes,attention_zero_shot,KCNQ5,CC,True
oligodendrocytes,attention_zero_shot,STMN2,CC,True
oligodendrocytes,attention_zero_shot,VAV3,CC,True
oligodendrocytes,attention_zero_shot,NRG3,CC,True
oligodendrocytes,attention_zero_shot,RGS1,CC,True
oligodendrocytes,attention_zero_shot,THSD7B,CC,True
oligodendrocytes,attention_zero_shot,GABRB2,CC,True
oligodendrocytes,attention_zero_shot,NRG1,CC,True
oligodendrocytes,attention_zero_shot,STAB1,CC,True
oligodendrocytes,attention_zero_shot,GAP43,CC,True
oligodendrocytes,attention_zero_shot,ELAVL2,CC,True
oligodendrocytes,attention_zero_shot,LRRC3B,CC,True
oligodendrocytes,attention_zero_shot,SAMD5,CC,True
oligodendrocytes,ig_lora,CD163,CC,True
oligodendrocytes,ig_lora,ID2,CC,True
oligodendrocytes,ig_lora,HES1,CC,True
oligodendrocytes,ig_lora,MS4A4A,CC,True
oligodendrocytes,ig_lora,PPP1R3C,CC,True
oligodendrocytes,ig_lora,NR4A3,CC,True
oligodendrocytes,ig_lora,ETNPPL,CC,True
oligodendrocytes,ig_lora,ID3,CC,True
oligodendrocytes,ig_lora,ANGPTL4,CC,True
oligodendrocytes,ig_lora,DUSP1,CC,True
oligodendrocytes,ig_lora,PLEK,CC,True
oligodendrocytes,ig_lora,ADM,CC,True
oligodendrocytes,ig_lora,SERPINE1,CC,True
oligodendrocytes,ig_lora,GADD45G,CC,True
oligodendrocytes,ig_lora,SRGN,CC,True
oligodendrocytes,ig_lora,CH25H,CC,True
oligodendrocytes,ig_lora,ATP6V0D2,CC,True
oligodendrocytes,ig_lora,SVEP1,CC,True
oligodendrocytes,ig_lora,AHCYL1,CC,True
oligodendrocytes,ig_lora,SLC2A3,CC,True
oligodendrocytes,ig_lora,HBB,CC,True
oligodendrocytes,ig_lora,TYK2,CC,True
oligodendrocytes,ig_lora,IL1B,CC,True
oligodendrocytes,ig_lora,OLR1,CC,True
oligodendrocytes,ig_lora,OPALIN,CC,True
oligodendrocytes,ig_lora,CCL3,CC,True
oligodendrocytes,ig_lora,SELENOP,CC,True
oligodendrocytes,ig_lora,LIPG,CC,True
oligodendrocytes,ig_lora,PLAC8,CC,True
oligodendrocytes,ig_lora,CD69,CC,True
astrocytes,attention_zero_shot,NR4A3,MF,True
astrocytes,attention_zero_shot,PLA2G4A,MF,True
astrocytes,attention_zero_shot,CR1,MF,True
astrocytes,attention_zero_shot,CEBPD,MF,True
astrocytes,attention_zero_shot,ITGA4,MF,True
astrocytes,attention_zero_shot,MX2,MF,True
astrocytes,attention_zero_shot,GFRA1,MF,True
astrocytes,attention_zero_shot,ANKRD22,MF,False
astrocytes,attention_zero_shot,CD69,MF,True
astrocytes,attention_zero_shot,ST8SIA4,MF,True
astrocytes,attention_zero_shot,CD163,MF,True
astrocytes,attention_zero_shot,MS4A4E,MF,False
astrocytes,attention_zero_shot,OLR1,MF,True
astrocytes,attention_zero_shot,ID2,MF,True
astrocytes,attention_zero_shot,CSF3R,MF,True
astrocytes,attention_zero_shot,TUBB2B,MF,True
astrocytes,attention_zero_shot,CD86,MF,True
astrocytes,attention_zero_shot,ADM,MF,True
astrocytes,attention_zero_shot,ANGPTL4,MF,True
astrocytes,attention_zero_shot,HES1,MF,True
astrocytes,attention_zero_shot,ID3,MF,True
astrocytes,attention_zero_shot,IFI44L,MF,False
astrocytes,attention_zero_shot,F13A1,MF,True
astrocytes,attention_zero_shot,CMKLR1,MF,True
astrocytes,attention_zero_shot,HSP90AA1,MF,True
astrocytes,attention_zero_shot,EPSTI1,MF,True
astrocytes,attention_zero_shot,KYNU,MF,True
astrocytes,attention_zero_shot,MT1M,MF,True
astrocytes,attention_zero_shot,CPA6,MF,True
astrocytes,attention_zero_shot,ABCA9,MF,True
astrocytes,ig_lora,AHCYL1,MF,True
astrocytes,ig_lora,CCL4,MF,True
astrocytes,ig_lora,ETNPPL,MF,True
astrocytes,ig_lora,CCL3,MF,True
astrocytes,ig_lora,CD163,MF,True
astrocytes,ig_lora,HES1,MF,True
astrocytes,ig_lora,FCGR2A,MF,True
astrocytes,ig_lora,ATP10A,MF,True
astrocytes,ig_lora,ADM,MF,True
astrocytes,ig_lora,SLC2A3,MF,True
astrocytes,ig_lora,OPALIN,MF,False
astrocytes,ig_lora,ID2,MF,True
astrocytes,ig_lora,HBB,MF,True
astrocytes,ig_lora,MS4A4A,MF,True
astrocytes,ig_lora,ATP6V0D2,MF,True
astrocytes,ig_lora,GLDN,MF,True
astrocytes,ig_lora,ADGRG6,MF,True
astrocytes,ig_lora,ID3,MF,True
astrocytes,ig_lora,SPP1,MF,True
astrocytes,ig_lora,SPOCD1,MF,True
astrocytes,ig_lora,RGS1,MF,True
astrocytes,ig_lora,TRDN,MF,True
astrocytes,ig_lora,ANGPTL4,MF,True
astrocytes,ig_lora,PPP1R3C,MF,True
astrocytes,ig_lora,NR4A3,MF,True
astrocytes,ig_lora,CEBPD,MF,True
astrocytes,ig_lora,DUSP1,MF,True
astrocytes,ig_lora,CHI3L1,MF,True
astrocytes,ig_lora,GADD45G,MF,True
astrocytes,ig_lora,F13A1,MF,True
da_neurons,attention_zero_shot,CYP4F12,MF,True
